,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Zhijie,Zhijie,GPE,0.16250000,0.28750000,en,1.00000000,,9940488,P,25.0944,100.113,ASIA,China,EAS
Amsterdam,Amsterdam,GPE,-0.01010101,0.24873737,en,1.00000000,4001783-7,2759794,P,52.37403,4.88969,EUROPE,The Netherlands,NEU
Xiangjie,Xiangjie,GPE,0.16250000,0.28750000,en,1.00000000,,6646732,P,25.00114,121.22846,ASIA,Taiwan,EAS
Zunjie,Zunjie,GPE,0.16250000,0.28750000,en,1.00000000,,0,,,,,,
Saudi Arabia’s,Saudi Arabia’s,GPE,0.50000000,0.90000000,en,1.00000000,,0,,,,,,
Toronto,Toronto,GPE,-0.10000000,0.18571429,en,1.00000000,4060459-7,6167865,P,43.70643,-79.39864,NORTH-AMERICA,Canada,ENA
Nubia,Nubia,GPE,0.13068182,0.47613636,en,1.00000000,,350981,L,18.98374,32.19115,AFRICA,Sudan,SAH
Nachuan Capital,Nachuan Capital,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Suzhou,Suzhou,GPE,0.00000000,0.00000000,en,1.00000000,4247872-8,1886760,P,31.30408,120.59538,ASIA,China,EAS
the Southern District,the Southern District,LOC,0.05555556,0.33333333,en,1.00000000,4509105-5,1179400,P,31.41554,73.08969,ASIA,Pakistan,WCA
California,California,GPE,-0.02500000,0.11333333,en,1.00000000,,11071615,L,34.68743,-116.78467,NORTH-AMERICA,United States,WNA
London,London,GPE,-0.01010101,0.24873737,en,1.00000000,4074335-4,2643743,P,51.50853,-0.12574,EUROPE,United Kingdom,NEU
Thermage,Thermage,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Mars,Mars,LOC,-0.12000000,0.42500000,en,1.00000000,,6621751,T,-76.66667,161.95,POLAR,Antarctica,EAN
Jiika,Jiika,GPE,0.62500000,1.00000000,en,1.00000000,,0,,,,,,
Xu Jinjiang,Xu Jinjiang,GPE,-0.20000000,0.15000000,en,1.00000000,,10284349,S,34.26744,117.16298,ASIA,China,EAS
Changhua,Changhua,GPE,0.32000000,0.56833333,en,1.00000000,4407571-6,1993459,P,24.0692,120.5512,ASIA,Taiwan,EAS
the Tianzhong area,the Tianzhong area,GPE,0.15000000,0.20000000,en,1.00000000,,0,,,,,,
Tianzhong Marathon,Tianzhong Marathon,GPE,0.15000000,0.20000000,en,1.00000000,,0,,,,,,
Babao Town,Babao Town,GPE,0.15000000,0.20000000,en,1.00000000,,0,,,,,,
Sichuan,Sichuan,GPE,-0.03888889,0.67222222,en,1.00000000,4249575-1,1815286,P,30.66667,104.06667,ASIA,China,EAS
Qingshen County,Qingshen County,GPE,-0.25000000,0.25000000,en,1.00000000,,0,,,,,,
Maine,Maine,GPE,-0.07142857,0.14285714,en,1.00000000,4114929-4,4971068,A,45.50032,-69.24977,NORTH-AMERICA,United States,ENA
Chicago,Chicago,GPE,0.12500000,0.16666667,en,1.00000000,4009921-0,4887398,P,41.85003,-87.65005,NORTH-AMERICA,United States,ENA
Nagano,Nagano,GPE,0.45833333,0.65000000,en,1.00000000,4310172-0,1856215,P,36.65,138.18333,ASIA,Japan,EAS
Penghu,Penghu,LOC,-0.03333333,0.77777778,en,1.00000000,,6300304,S,23.56867,119.62831,ASIA,Taiwan,EAS
Chiayi City City Expo,Chiayi City City Expo,GPE,0.25000000,0.33333333,en,1.00000000,,0,,,,,,
Tustin,Tustin,GPE,-0.33333333,0.66666667,en,1.00000000,,5404119,P,33.74585,-117.82617,CENTRAL-AMERICA,United States,NCA
DC,DC,GPE,0.29000000,0.66000000,en,1.00000000,4064682-8,4140963,P,38.89511,-77.03637,NORTH-AMERICA,United States,ENA
Gotham City's,Gotham City's,GPE,0.29000000,0.66000000,en,1.00000000,,7306781,S,40.76056,-73.96694,NORTH-AMERICA,United States,ENA
Ren'ai Township,Ren'ai Township,GPE,0.07500000,0.35500000,en,1.00000000,,6645507,T,23.93805,121.27191,ASIA,Taiwan,EAS
Nantou,Nantou,GPE,0.07500000,0.35500000,en,1.00000000,,1671566,P,23.91566,120.66387,ASIA,Taiwan,EAS
Nantou County,Nantou County,GPE,0.00000000,0.46666667,en,1.00000000,5023744-5,7635161,P,18.73164,109.73159,ASIA,China,SEA
Yushan,Yushan,GPE,0.00000000,0.46666667,en,1.00000000,,1665181,T,23.47,120.95727,ASIA,Taiwan,EAS
Hollywood,Hollywood,GPE,0.06250000,0.50000000,en,1.00000000,4408912-0,4158928,P,26.0112,-80.14949,NORTH-AMERICA,United States,ENA
Netherlands,Netherlands,GPE,0.00000000,0.00000000,en,1.00000000,4042203-3,2750405,A,52.25,5.75,EUROPE,The Netherlands,NEU
